NAME,NAMELSAD,City Long,CountState,STATE_NAME
Wyboo,Wyboo CDP,"Wyboo CDP, South Carolina","Clarendon County, South Carolina",South Carolina
Zion,Zion CDP,"Zion CDP, South Carolina","Marion County, South Carolina",South Carolina
Winnsboro Mills,Winnsboro Mills CDP,"Winnsboro Mills CDP, South Carolina","Fairfield County, South Carolina",South Carolina
Mountville,Mountville CDP,"Mountville CDP, South Carolina","Laurens County, South Carolina",South Carolina
Princeton,Princeton CDP,"Princeton CDP, South Carolina","Laurens County, South Carolina",South Carolina
Watts Mills,Watts Mills CDP,"Watts Mills CDP, South Carolina","Laurens County, South Carolina",South Carolina
Mulberry,Mulberry CDP,"Mulberry CDP, South Carolina","Sumter County, South Carolina",South Carolina
Oakland,Oakland CDP,"Oakland CDP, South Carolina","Sumter County, South Carolina",South Carolina
North Hartsville,North Hartsville CDP,"North Hartsville CDP, South Carolina","Darlington County, South Carolina",South Carolina
Oak Grove,Oak Grove CDP,"Oak Grove CDP, South Carolina","Lexington County, South Carolina",South Carolina
Red Bank,Red Bank CDP,"Red Bank CDP, South Carolina","Lexington County, South Carolina",South Carolina
Seven Oaks,Seven Oaks CDP,"Seven Oaks CDP, South Carolina","Lexington County, South Carolina",South Carolina
Olympia,Olympia CDP,"Olympia CDP, South Carolina","Richland County, South Carolina",South Carolina
Pauline,Pauline CDP,"Pauline CDP, South Carolina","Spartanburg County, South Carolina",South Carolina
Pimlico,Pimlico CDP,"Pimlico CDP, South Carolina","Berkeley County, South Carolina",South Carolina
Pine Ridge,Pine Ridge CDP,"Pine Ridge CDP, South Carolina","Darlington County, South Carolina",South Carolina
Pinopolis,Pinopolis CDP,"Pinopolis CDP, South Carolina","Berkeley County, South Carolina",South Carolina
Sangaree,Sangaree CDP,"Sangaree CDP, South Carolina","Berkeley County, South Carolina",South Carolina
Promised Land,Promised Land CDP,"Promised Land CDP, South Carolina","Greenwood County, South Carolina",South Carolina
Rains,Rains CDP,"Rains CDP, South Carolina","Marion County, South Carolina",South Carolina
Rembert,Rembert CDP,"Rembert CDP, South Carolina","Sumter County, South Carolina",South Carolina
Shiloh,Shiloh CDP,"Shiloh CDP, South Carolina","Sumter County, South Carolina",South Carolina
Riverview,Riverview CDP,"Riverview CDP, South Carolina","York County, South Carolina",South Carolina
Russellville,Russellville CDP,"Russellville CDP, South Carolina","Berkeley County, South Carolina",South Carolina
Tigerville,Tigerville CDP,"Tigerville CDP, South Carolina","Greenville County, South Carolina",South Carolina
Warrenville,Warrenville CDP,"Warrenville CDP, South Carolina","Aiken County, South Carolina",South Carolina
St. Charles,St. Charles CDP,"St. Charles CDP, South Carolina","Lee County, South Carolina",South Carolina
Wisacky,Wisacky CDP,"Wisacky CDP, South Carolina","Lee County, South Carolina",South Carolina
Sans Souci,Sans Souci CDP,"Sans Souci CDP, South Carolina","Greenville County, South Carolina",South Carolina
Slater-Marietta,Slater-Marietta CDP,"Slater-Marietta CDP, South Carolina","Greenville County, South Carolina",South Carolina
Taylors,Taylors CDP,"Taylors CDP, South Carolina","Greenville County, South Carolina",South Carolina
Wade Hampton,Wade Hampton CDP,"Wade Hampton CDP, South Carolina","Greenville County, South Carolina",South Carolina
Welcome,Welcome CDP,"Welcome CDP, South Carolina","Greenville County, South Carolina",South Carolina
Sheldon,Sheldon CDP,"Sheldon CDP, South Carolina","Beaufort County, South Carolina",South Carolina
South Sumter,South Sumter CDP,"South Sumter CDP, South Carolina","Sumter County, South Carolina",South Carolina
Stateburg,Stateburg CDP,"Stateburg CDP, South Carolina","Sumter County, South Carolina",South Carolina
Wedgefield,Wedgefield CDP,"Wedgefield CDP, South Carolina","Sumter County, South Carolina",South Carolina
Tamassee,Tamassee CDP,"Tamassee CDP, South Carolina","Oconee County, South Carolina",South Carolina
Tradesville,Tradesville CDP,"Tradesville CDP, South Carolina","Lancaster County, South Carolina",South Carolina
Utica,Utica CDP,"Utica CDP, South Carolina","Oconee County, South Carolina",South Carolina
Whitney,Whitney CDP,"Whitney CDP, South Carolina","Spartanburg County, South Carolina",South Carolina
Mangum,Mangum city,"Mangum city, Oklahoma","Greer County, Oklahoma",Oklahoma
Mountain View,Mountain View town,"Mountain View town, Oklahoma","Kiowa County, Oklahoma",Oklahoma
Roosevelt,Roosevelt town,"Roosevelt town, Oklahoma","Kiowa County, Oklahoma",Oklahoma
Shattuck,Shattuck town,"Shattuck town, Oklahoma","Ellis County, Oklahoma",Oklahoma
Glencoe,Glencoe town,"Glencoe town, Oklahoma","Payne County, Oklahoma",Oklahoma
Perkins,Perkins city,"Perkins city, Oklahoma","Payne County, Oklahoma",Oklahoma
Ripley,Ripley town,"Ripley town, Oklahoma","Payne County, Oklahoma",Oklahoma
Aline,Aline town,"Aline town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Amorita,Amorita town,"Amorita town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Byron,Byron town,"Byron town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Carmen,Carmen town,"Carmen town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Cherokee,Cherokee city,"Cherokee city, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Helena,Helena town,"Helena town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Jet,Jet town,"Jet town, Oklahoma","Alfalfa County, Oklahoma",Oklahoma
Moffett,Moffett town,"Moffett town, Oklahoma","Sequoyah County, Oklahoma",Oklahoma
Paradise Hill,Paradise Hill town,"Paradise Hill town, Oklahoma","Sequoyah County, Oklahoma",Oklahoma
Roland,Roland town,"Roland town, Oklahoma","Sequoyah County, Oklahoma",Oklahoma
Vian,Vian town,"Vian town, Oklahoma","Sequoyah County, Oklahoma",Oklahoma
Carney,Carney town,"Carney town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Davenport,Davenport town,"Davenport town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Kendrick,Kendrick town,"Kendrick town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Prague,Prague city,"Prague city, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Tryon,Tryon town,"Tryon town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Warwick,Warwick town,"Warwick town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Wellston,Wellston town,"Wellston town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Sparks,Sparks town,"Sparks town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Yale,Yale city,"Yale city, Oklahoma","Payne County, Oklahoma",Oklahoma
Leedey,Leedey town,"Leedey town, Oklahoma","Dewey County, Oklahoma",Oklahoma
Tahlequah,Tahlequah city,"Tahlequah city, Oklahoma","Cherokee County, Oklahoma",Oklahoma
Muskogee,Muskogee city,"Muskogee city, Oklahoma","Muskogee County, Oklahoma",Oklahoma
Wilson,Wilson city,"Wilson city, Oklahoma","Carter County, Oklahoma",Oklahoma
Alderson,Alderson town,"Alderson town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Ashland,Ashland town,"Ashland town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Canadian,Canadian town,"Canadian town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Crowder,Crowder town,"Crowder town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Haileyville,Haileyville city,"Haileyville city, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Hartshorne,Hartshorne city,"Hartshorne city, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Indianola,Indianola town,"Indianola town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Kiowa,Kiowa town,"Kiowa town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Salina,Salina town,"Salina town, Oklahoma","Mayes County, Oklahoma",Oklahoma
Reydon,Reydon town,"Reydon town, Oklahoma","Roger Mills County, Oklahoma",Oklahoma
Colcord,Colcord town,"Colcord town, Oklahoma","Delaware County, Oklahoma",Oklahoma
Wewoka,Wewoka city,"Wewoka city, Oklahoma","Seminole County, Oklahoma",Oklahoma
Krebs,Krebs city,"Krebs city, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Savanna,Savanna town,"Savanna town, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Burns Flat,Burns Flat town,"Burns Flat town, Oklahoma","Washita County, Oklahoma",Oklahoma
Canute,Canute town,"Canute town, Oklahoma","Washita County, Oklahoma",Oklahoma
Colony,Colony town,"Colony town, Oklahoma","Washita County, Oklahoma",Oklahoma
Corn,Corn town,"Corn town, Oklahoma","Washita County, Oklahoma",Oklahoma
Hollis,Hollis city,"Hollis city, Oklahoma","Harmon County, Oklahoma",Oklahoma
Dill City,Dill City town,"Dill City town, Oklahoma","Washita County, Oklahoma",Oklahoma
Foss,Foss town,"Foss town, Oklahoma","Washita County, Oklahoma",Oklahoma
Sentinel,Sentinel town,"Sentinel town, Oklahoma","Washita County, Oklahoma",Oklahoma
Langston,Langston town,"Langston town, Oklahoma","Logan County, Oklahoma",Oklahoma
Coyle,Coyle town,"Coyle town, Oklahoma","Logan County, Oklahoma",Oklahoma
Stringtown,Stringtown town,"Stringtown town, Oklahoma","Atoka County, Oklahoma",Oklahoma
Braggs,Braggs town,"Braggs town, Oklahoma","Muskogee County, Oklahoma",Oklahoma
Summit,Summit town,"Summit town, Oklahoma","Muskogee County, Oklahoma",Oklahoma
Webbers Falls,Webbers Falls town,"Webbers Falls town, Oklahoma","Muskogee County, Oklahoma",Oklahoma
Blanchard,Blanchard city,"Blanchard city, Oklahoma","McClain County, Oklahoma",Oklahoma
Bradley,Bradley town,"Bradley town, Oklahoma","Grady County, Oklahoma",Oklahoma
Minco,Minco city,"Minco city, Oklahoma","Grady County, Oklahoma",Oklahoma
Sasakwa,Sasakwa town,"Sasakwa town, Oklahoma","Seminole County, Oklahoma",Oklahoma
Stonewall,Stonewall town,"Stonewall town, Oklahoma","Pontotoc County, Oklahoma",Oklahoma
Frederick,Frederick city,"Frederick city, Oklahoma","Tillman County, Oklahoma",Oklahoma
Grandfield,Grandfield city,"Grandfield city, Oklahoma","Tillman County, Oklahoma",Oklahoma
Loveland,Loveland town,"Loveland town, Oklahoma","Tillman County, Oklahoma",Oklahoma
Manitou,Manitou town,"Manitou town, Oklahoma","Tillman County, Oklahoma",Oklahoma
Tipton,Tipton town,"Tipton town, Oklahoma","Tillman County, Oklahoma",Oklahoma
Rosedale,Rosedale town,"Rosedale town, Oklahoma","McClain County, Oklahoma",Oklahoma
Adair,Adair town,"Adair town, Oklahoma","Mayes County, Oklahoma",Oklahoma
Jefferson,Jefferson town,"Jefferson town, Oklahoma","Grant County, Oklahoma",Oklahoma
Walters,Walters city,"Walters city, Oklahoma","Cotton County, Oklahoma",Oklahoma
McAlester,McAlester city,"McAlester city, Oklahoma","Pittsburg County, Oklahoma",Oklahoma
Vera,Vera town,"Vera town, Oklahoma","Washington County, Oklahoma",Oklahoma
Bray,Bray town,"Bray town, Oklahoma","Stephens County, Oklahoma",Oklahoma
Central High,Central High town,"Central High town, Oklahoma","Stephens County, Oklahoma",Oklahoma
Comanche,Comanche city,"Comanche city, Oklahoma","Stephens County, Oklahoma",Oklahoma
Empire City,Empire City town,"Empire City town, Oklahoma","Stephens County, Oklahoma",Oklahoma
Marlow,Marlow city,"Marlow city, Oklahoma","Stephens County, Oklahoma",Oklahoma
Durant,Durant city,"Durant city, Oklahoma","Bryan County, Oklahoma",Oklahoma
Kemp,Kemp town,"Kemp town, Oklahoma","Bryan County, Oklahoma",Oklahoma
Cyril,Cyril town,"Cyril town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Lamont,Lamont town,"Lamont town, Oklahoma","Grant County, Oklahoma",Oklahoma
Hitchita,Hitchita town,"Hitchita town, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Medford,Medford city,"Medford city, Oklahoma","Grant County, Oklahoma",Oklahoma
Wakita,Wakita town,"Wakita town, Oklahoma","Grant County, Oklahoma",Oklahoma
Catoosa,Catoosa city,"Catoosa city, Oklahoma","Rogers County, Oklahoma",Oklahoma
Grove,Grove city,"Grove city, Oklahoma","Delaware County, Oklahoma",Oklahoma
Kinta,Kinta town,"Kinta town, Oklahoma","Haskell County, Oklahoma",Oklahoma
Stigler,Stigler city,"Stigler city, Oklahoma","Haskell County, Oklahoma",Oklahoma
Sugden,Sugden town,"Sugden town, Oklahoma","Jefferson County, Oklahoma",Oklahoma
Atwood,Atwood town,"Atwood town, Oklahoma","Hughes County, Oklahoma",Oklahoma
Stuart,Stuart town,"Stuart town, Oklahoma","Hughes County, Oklahoma",Oklahoma
Bokoshe,Bokoshe town,"Bokoshe town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Cameron,Cameron town,"Cameron town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Harrah,Harrah city,"Harrah city, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Lake Aluma,Lake Aluma town,"Lake Aluma town, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Nichols Hills,Nichols Hills city,"Nichols Hills city, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Smith Village,Smith Village town,"Smith Village town, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Ponca City,Ponca City city,"Ponca City city, Oklahoma","Kay County, Oklahoma",Oklahoma
Bromide,Bromide town,"Bromide town, Oklahoma","Johnston County, Oklahoma",Oklahoma
Dougherty,Dougherty town,"Dougherty town, Oklahoma","Murray County, Oklahoma",Oklahoma
Sulphur,Sulphur city,"Sulphur city, Oklahoma","Murray County, Oklahoma",Oklahoma
Mutual,Mutual town,"Mutual town, Oklahoma","Woodward County, Oklahoma",Oklahoma
Geary,Geary city,"Geary city, Oklahoma","Canadian County, Oklahoma",Oklahoma
Haworth,Haworth town,"Haworth town, Oklahoma","McCurtain County, Oklahoma",Oklahoma
Lahoma,Lahoma town,"Lahoma town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Waukomis,Waukomis town,"Waukomis town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Bristow,Bristow city,"Bristow city, Oklahoma","Creek County, Oklahoma",Oklahoma
Chelsea,Chelsea town,"Chelsea town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Foyil,Foyil town,"Foyil town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Panama,Panama town,"Panama town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Wister,Wister town,"Wister town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Bartlesville,Bartlesville city,"Bartlesville city, Oklahoma","Washington County, Oklahoma",Oklahoma
Foraker,Foraker town,"Foraker town, Oklahoma","Osage County, Oklahoma",Oklahoma
Collinsville,Collinsville city,"Collinsville city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Inola,Inola town,"Inola town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Oologah,Oologah town,"Oologah town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Talala,Talala town,"Talala town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Valley Park,Valley Park town,"Valley Park town, Oklahoma","Rogers County, Oklahoma",Oklahoma
Pawhuska,Pawhuska city,"Pawhuska city, Oklahoma","Osage County, Oklahoma",Oklahoma
Kildare,Kildare town,"Kildare town, Oklahoma","Kay County, Oklahoma",Oklahoma
Checotah,Checotah city,"Checotah city, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Rentiesville,Rentiesville town,"Rentiesville town, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Stidham,Stidham town,"Stidham town, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Bernice,Bernice town,"Bernice town, Oklahoma","Delaware County, Oklahoma",Oklahoma
Jay,Jay city,"Jay city, Oklahoma","Delaware County, Oklahoma",Oklahoma
Kansas,Kansas town,"Kansas town, Oklahoma","Delaware County, Oklahoma",Oklahoma
West Siloam Springs,West Siloam Springs town,"West Siloam Springs town, Oklahoma","Delaware County, Oklahoma",Oklahoma
Sand Springs,Sand Springs city,"Sand Springs city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Wright City,Wright City town,"Wright City town, Oklahoma","McCurtain County, Oklahoma",Oklahoma
Granite,Granite town,"Granite town, Oklahoma","Greer County, Oklahoma",Oklahoma
Glenpool,Glenpool city,"Glenpool city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Atoka,Atoka city,"Atoka city, Oklahoma","Atoka County, Oklahoma",Oklahoma
Milburn,Milburn town,"Milburn town, Oklahoma","Johnston County, Oklahoma",Oklahoma
Wapanucka,Wapanucka town,"Wapanucka town, Oklahoma","Johnston County, Oklahoma",Oklahoma
Eufaula,Eufaula city,"Eufaula city, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Hanna,Hanna town,"Hanna town, Oklahoma","McIntosh County, Oklahoma",Oklahoma
Stilwell,Stilwell city,"Stilwell city, Oklahoma","Adair County, Oklahoma",Oklahoma
Blackburn,Blackburn town,"Blackburn town, Oklahoma","Pawnee County, Oklahoma",Oklahoma
Jennings,Jennings town,"Jennings town, Oklahoma","Pawnee County, Oklahoma",Oklahoma
Skedee,Skedee town,"Skedee town, Oklahoma","Pawnee County, Oklahoma",Oklahoma
Arkoma,Arkoma town,"Arkoma town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Cowlington,Cowlington town,"Cowlington town, Oklahoma","Le Flore County, Oklahoma",Oklahoma
Snyder,Snyder city,"Snyder city, Oklahoma","Kiowa County, Oklahoma",Oklahoma
Macomb,Macomb town,"Macomb town, Oklahoma","Pottawatomie County, Oklahoma",Oklahoma
Hulbert,Hulbert town,"Hulbert town, Oklahoma","Cherokee County, Oklahoma",Oklahoma
Caney,Caney town,"Caney town, Oklahoma","Atoka County, Oklahoma",Oklahoma
Tushka,Tushka town,"Tushka town, Oklahoma","Atoka County, Oklahoma",Oklahoma
Breckenridge,Breckenridge town,"Breckenridge town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Drummond,Drummond town,"Drummond town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Fairmont,Fairmont town,"Fairmont town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Garber,Garber city,"Garber city, Oklahoma","Garfield County, Oklahoma",Oklahoma
North Enid,North Enid town,"North Enid town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Dacoma,Dacoma town,"Dacoma town, Oklahoma","Woods County, Oklahoma",Oklahoma
Freedom,Freedom town,"Freedom town, Oklahoma","Woods County, Oklahoma",Oklahoma
Waynoka,Waynoka city,"Waynoka city, Oklahoma","Woods County, Oklahoma",Oklahoma
Tulsa,Tulsa city,"Tulsa city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Grainola,Grainola town,"Grainola town, Oklahoma","Osage County, Oklahoma",Oklahoma
Skiatook,Skiatook city,"Skiatook city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Hydro,Hydro town,"Hydro town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Konawa,Konawa city,"Konawa city, Oklahoma","Seminole County, Oklahoma",Oklahoma
Lawton,Lawton city,"Lawton city, Oklahoma","Comanche County, Oklahoma",Oklahoma
Wynona,Wynona town,"Wynona town, Oklahoma","Osage County, Oklahoma",Oklahoma
Greenfield,Greenfield town,"Greenfield town, Oklahoma","Blaine County, Oklahoma",Oklahoma
Davidson,Davidson town,"Davidson town, Oklahoma","Tillman County, Oklahoma",Oklahoma
Anadarko,Anadarko city,"Anadarko city, Oklahoma","Caddo County, Oklahoma",Oklahoma
Apache,Apache town,"Apache town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Binger,Binger town,"Binger town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Carnegie,Carnegie town,"Carnegie town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Cement,Cement town,"Cement town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Eakly,Eakly town,"Eakly town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Erick,Erick city,"Erick city, Oklahoma","Beckham County, Oklahoma",Oklahoma
Sweetwater,Sweetwater town,"Sweetwater town, Oklahoma","Beckham County, Oklahoma",Oklahoma
Texola,Texola town,"Texola town, Oklahoma","Beckham County, Oklahoma",Oklahoma
Carter,Carter town,"Carter town, Oklahoma","Beckham County, Oklahoma",Oklahoma
Canton,Canton town,"Canton town, Oklahoma","Blaine County, Oklahoma",Oklahoma
Longdale,Longdale town,"Longdale town, Oklahoma","Blaine County, Oklahoma",Oklahoma
Watonga,Watonga city,"Watonga city, Oklahoma","Blaine County, Oklahoma",Oklahoma
Hitchcock,Hitchcock town,"Hitchcock town, Oklahoma","Blaine County, Oklahoma",Oklahoma
Gate,Gate town,"Gate town, Oklahoma","Beaver County, Oklahoma",Oklahoma
Forgan,Forgan town,"Forgan town, Oklahoma","Beaver County, Oklahoma",Oklahoma
Fort Cobb,Fort Cobb town,"Fort Cobb town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Hinton,Hinton town,"Hinton town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Lookeba,Lookeba town,"Lookeba town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Gracemont,Gracemont town,"Gracemont town, Oklahoma","Caddo County, Oklahoma",Oklahoma
Oaks,Oaks town,"Oaks town, Oklahoma","Delaware County, Oklahoma",Oklahoma
Mannsville,Mannsville town,"Mannsville town, Oklahoma","Johnston County, Oklahoma",Oklahoma
Mill Creek,Mill Creek town,"Mill Creek town, Oklahoma","Johnston County, Oklahoma",Oklahoma
Tishomingo,Tishomingo city,"Tishomingo city, Oklahoma","Johnston County, Oklahoma",Oklahoma
Meridian,Meridian town,"Meridian town, Oklahoma","Logan County, Oklahoma",Oklahoma
Arapaho,Arapaho town,"Arapaho town, Oklahoma","Custer County, Oklahoma",Oklahoma
Custer City,Custer City town,"Custer City town, Oklahoma","Custer County, Oklahoma",Oklahoma
Hammon,Hammon town,"Hammon town, Oklahoma","Roger Mills County, Oklahoma",Oklahoma
Thomas,Thomas city,"Thomas city, Oklahoma","Custer County, Oklahoma",Oklahoma
Butler,Butler town,"Butler town, Oklahoma","Custer County, Oklahoma",Oklahoma
Arcadia,Arcadia town,"Arcadia town, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Valley Brook,Valley Brook town,"Valley Brook town, Oklahoma","Oklahoma County, Oklahoma",Oklahoma
Orlando,Orlando town,"Orlando town, Oklahoma","Logan County, Oklahoma",Oklahoma
Commerce,Commerce city,"Commerce city, Oklahoma","Ottawa County, Oklahoma",Oklahoma
Okay,Okay town,"Okay town, Oklahoma","Wagoner County, Oklahoma",Oklahoma
Porter,Porter town,"Porter town, Oklahoma","Wagoner County, Oklahoma",Oklahoma
Wagoner,Wagoner city,"Wagoner city, Oklahoma","Wagoner County, Oklahoma",Oklahoma
Gage,Gage town,"Gage town, Oklahoma","Ellis County, Oklahoma",Oklahoma
Bearden,Bearden town,"Bearden town, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
Boley,Boley town,"Boley town, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
IXL,IXL town,"IXL town, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
Okemah,Okemah city,"Okemah city, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
Paden,Paden town,"Paden town, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
Meeker,Meeker town,"Meeker town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Weleetka,Weleetka town,"Weleetka town, Oklahoma","Okfuskee County, Oklahoma",Oklahoma
Quapaw,Quapaw town,"Quapaw town, Oklahoma","Ottawa County, Oklahoma",Oklahoma
Bixby,Bixby city,"Bixby city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Chattanooga,Chattanooga town,"Chattanooga town, Oklahoma","Comanche County, Oklahoma",Oklahoma
Dewar,Dewar town,"Dewar town, Oklahoma","Okmulgee County, Oklahoma",Oklahoma
Liberty,Liberty town,"Liberty town, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Morris,Morris city,"Morris city, Oklahoma","Okmulgee County, Oklahoma",Oklahoma
Schulter,Schulter town,"Schulter town, Oklahoma","Okmulgee County, Oklahoma",Oklahoma
Winchester,Winchester town,"Winchester town, Oklahoma","Okmulgee County, Oklahoma",Oklahoma
Manchester,Manchester town,"Manchester town, Oklahoma","Grant County, Oklahoma",Oklahoma
Deer Creek,Deer Creek town,"Deer Creek town, Oklahoma","Grant County, Oklahoma",Oklahoma
Nash,Nash town,"Nash town, Oklahoma","Grant County, Oklahoma",Oklahoma
Pond Creek,Pond Creek city,"Pond Creek city, Oklahoma","Grant County, Oklahoma",Oklahoma
Renfrow,Renfrow town,"Renfrow town, Oklahoma","Grant County, Oklahoma",Oklahoma
Vinita,Vinita city,"Vinita city, Oklahoma","Craig County, Oklahoma",Oklahoma
Geronimo,Geronimo town,"Geronimo town, Oklahoma","Comanche County, Oklahoma",Oklahoma
Miami,Miami city,"Miami city, Oklahoma","Ottawa County, Oklahoma",Oklahoma
Peoria,Peoria town,"Peoria town, Oklahoma","Ottawa County, Oklahoma",Oklahoma
Nowata,Nowata city,"Nowata city, Oklahoma","Nowata County, Oklahoma",Oklahoma
South Coffeyville,South Coffeyville town,"South Coffeyville town, Oklahoma","Nowata County, Oklahoma",Oklahoma
Fallis,Fallis town,"Fallis town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Chandler,Chandler city,"Chandler city, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Agra,Agra town,"Agra town, Oklahoma","Lincoln County, Oklahoma",Oklahoma
Altus,Altus city,"Altus city, Oklahoma","Jackson County, Oklahoma",Oklahoma
Elmer,Elmer town,"Elmer town, Oklahoma","Jackson County, Oklahoma",Oklahoma
Welch,Welch town,"Welch town, Oklahoma","Craig County, Oklahoma",Oklahoma
Sapulpa,Sapulpa city,"Sapulpa city, Oklahoma","Creek County, Oklahoma",Oklahoma
Broken Arrow,Broken Arrow city,"Broken Arrow city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Jenks,Jenks city,"Jenks city, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Lotsee,Lotsee town,"Lotsee town, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Carrier,Carrier town,"Carrier town, Oklahoma","Garfield County, Oklahoma",Oklahoma
Enid,Enid city,"Enid city, Oklahoma","Garfield County, Oklahoma",Oklahoma
Hunter,Hunter town,"Hunter town, Oklahoma","Garfield County, Oklahoma",Oklahoma
May,May town,"May town, Oklahoma","Harper County, Oklahoma",Oklahoma
Morrison,Morrison town,"Morrison town, Oklahoma","Noble County, Oklahoma",Oklahoma
Fairland,Fairland town,"Fairland town, Oklahoma","Ottawa County, Oklahoma",Oklahoma
Dickson,Dickson town,"Dickson town, Oklahoma","Carter County, Oklahoma",Oklahoma
Gene Autry,Gene Autry town,"Gene Autry town, Oklahoma","Carter County, Oklahoma",Oklahoma
Healdton,Healdton city,"Healdton city, Oklahoma","Carter County, Oklahoma",Oklahoma
Springer,Springer town,"Springer town, Oklahoma","Carter County, Oklahoma",Oklahoma
Tatums,Tatums town,"Tatums town, Oklahoma","Carter County, Oklahoma",Oklahoma
Sperry,Sperry town,"Sperry town, Oklahoma","Tulsa County, Oklahoma",Oklahoma
Goodwell,Goodwell town,"Goodwell town, Oklahoma","Texas County, Oklahoma",Oklahoma
Hooker,Hooker city,"Hooker city, Oklahoma","Texas County, Oklahoma",Oklahoma
Optima,Optima town,"Optima town, Oklahoma","Texas County, Oklahoma",Oklahoma
Texhoma,Texhoma town,"Texhoma town, Oklahoma","Texas County, Oklahoma",Oklahoma
Hardesty,Hardesty town,"Hardesty town, Oklahoma","Texas County, Oklahoma",Oklahoma
Claremore,Claremore city,"Claremore city, Oklahoma","Rogers County, Oklahoma",Oklahoma
